ticket_id,text,value,locale,created_at
5760,解決できましたか？,2.0,zh,2024-02-07 15:53:31.572
5760,有人サポートは親切でしたか？,4.0,zh,2024-02-07 15:53:31.572
5760,満足できましたか？,5.0,zh,2024-02-07 15:53:31.572
5760,ご自由にお書きください,test,zh,2024-02-07 15:53:31.572
5729,解決できましたか？,5.0,en,2024-02-13 16:38:02.345
5729,有人サポートは親切でしたか？,5.0,en,2024-02-13 16:38:02.345
5729,満足できましたか？,5.0,en,2024-02-13 16:38:02.345
5729,ご自由にお書きください,,en,2024-02-13 16:38:02.345
5771,解決できましたか？,3.0,en,2024-02-14 11:43:39.397
5771,有人サポートは親切でしたか？,3.0,en,2024-02-14 11:43:39.397
5771,満足できましたか？,3.0,en,2024-02-14 11:43:39.397
5771,ご自由にお書きください,,en,2024-02-14 11:43:39.397
5792,解決できましたか？,5.0,en,2024-02-14 11:43:53.315
5792,有人サポートは親切でしたか？,5.0,en,2024-02-14 11:43:53.315
5792,満足できましたか？,4.0,en,2024-02-14 11:43:53.315
5792,ご自由にお書きください,,en,2024-02-14 11:43:53.315
5791,解決できましたか？,2.0,en,2024-02-14 11:44:04.519
5791,有人サポートは親切でしたか？,4.0,en,2024-02-14 11:44:04.519
5791,満足できましたか？,4.0,en,2024-02-14 11:44:04.519
5791,ご自由にお書きください,,en,2024-02-14 11:44:04.519
5790,解決できましたか？,3.0,en,2024-02-14 16:22:23.853
5790,有人サポートは親切でしたか？,5.0,en,2024-02-14 16:22:23.853
5790,満足できましたか？,5.0,en,2024-02-14 16:22:23.853
5790,ご自由にお書きください,,en,2024-02-14 16:22:23.853
5783,解決できましたか？,5.0,en,2024-02-15 14:15:39.785
5783,有人サポートは親切でしたか？,5.0,en,2024-02-15 14:15:39.785
5783,満足できましたか？,5.0,en,2024-02-15 14:15:39.785
5783,ご自由にお書きください,Excellent (素晴らしい) 👍,en,2024-02-15 14:15:39.785
5812,解決できましたか？,5.0,en,2024-02-15 14:22:17.085
5812,有人サポートは親切でしたか？,5.0,en,2024-02-15 14:22:17.085
5812,満足できましたか？,5.0,en,2024-02-15 14:22:17.085
5812,ご自由にお書きください,,en,2024-02-15 14:22:17.085
5823,解決できましたか？,3.0,en,2024-02-16 19:01:26.009
5823,有人サポートは親切でしたか？,5.0,en,2024-02-16 19:01:26.009
5823,満足できましたか？,3.0,en,2024-02-16 19:01:26.009
5823,ご自由にお書きください,satisfied ,en,2024-02-16 19:01:26.009
5827,解決できましたか？,5.0,en,2024-02-17 15:23:02.724
5827,有人サポートは親切でしたか？,5.0,en,2024-02-17 15:23:02.724
5827,満足できましたか？,5.0,en,2024-02-17 15:23:02.724
5827,ご自由にお書きください,,en,2024-02-17 15:23:02.724
5768,解決できましたか？,5.0,en,2024-02-18 09:26:26.097
5768,有人サポートは親切でしたか？,5.0,en,2024-02-18 09:26:26.097
5768,満足できましたか？,4.0,en,2024-02-18 09:26:26.097
5768,ご自由にお書きください,,en,2024-02-18 09:26:26.097
5850,解決できましたか？,1.0,en,2024-02-22 16:15:49.857
5850,有人サポートは親切でしたか？,1.0,en,2024-02-22 16:15:49.857
5850,満足できましたか？,1.0,en,2024-02-22 16:15:49.857
5850,ご自由にお書きください,unexpectedly closed by gtn,en,2024-02-22 16:15:49.857
5854,解決できましたか？,5.0,en,2024-02-23 12:12:39.483
5854,有人サポートは親切でしたか？,5.0,en,2024-02-23 12:12:39.483
5854,満足できましたか？,5.0,en,2024-02-23 12:12:39.483
5854,ご自由にお書きください,,en,2024-02-23 12:12:39.483
5859,解決できましたか？,5.0,en,2024-02-23 17:50:10.877
5859,有人サポートは親切でしたか？,5.0,en,2024-02-23 17:50:10.877
5859,満足できましたか？,5.0,en,2024-02-23 17:50:10.877
5859,ご自由にお書きください,,en,2024-02-23 17:50:10.877
5861,解決できましたか？,5.0,vi,2024-02-24 10:26:18.689
5861,有人サポートは親切でしたか？,5.0,vi,2024-02-24 10:26:18.689
5861,満足できましたか？,5.0,vi,2024-02-24 10:26:18.689
5861,ご自由にお書きください,,vi,2024-02-24 10:26:18.689
5864,解決できましたか？,5.0,en,2024-02-25 18:37:45.947
5864,有人サポートは親切でしたか？,5.0,en,2024-02-25 18:37:45.947
5864,満足できましたか？,5.0,en,2024-02-25 18:37:45.947
5864,ご自由にお書きください,,en,2024-02-25 18:37:45.947
5862,解決できましたか？,5.0,en,2024-02-26 12:25:35.763
5862,有人サポートは親切でしたか？,5.0,en,2024-02-26 12:25:35.763
5862,満足できましたか？,5.0,en,2024-02-26 12:25:35.763
5862,ご自由にお書きください,thank you very much 😁,en,2024-02-26 12:25:35.763
5884,解決できましたか？,5.0,en,2024-03-01 17:02:24.979
5884,有人サポートは親切でしたか？,5.0,en,2024-03-01 17:02:24.979
5884,満足できましたか？,5.0,en,2024-03-01 17:02:24.979
5884,ご自由にお書きください,,en,2024-03-01 17:02:24.979
5898,解決できましたか？,4.0,zh,2024-03-03 18:25:00.423
5898,有人サポートは親切でしたか？,5.0,zh,2024-03-03 18:25:00.423
5898,満足できましたか？,4.0,zh,2024-03-03 18:25:00.423
5898,ご自由にお書きください,,zh,2024-03-03 18:25:00.423
5899,解決できましたか？,3.0,en,2024-03-04 15:58:00.691
5899,有人サポートは親切でしたか？,3.0,en,2024-03-04 15:58:00.691
5899,満足できましたか？,3.0,en,2024-03-04 15:58:00.691
5899,ご自由にお書きください,,en,2024-03-04 15:58:00.691
5926,解決できましたか？,5.0,zh,2024-03-06 21:00:18.269
